session_id,user_id_partial,subject,message_length,query_type,complexity,response_length,source_count,model_used,date,time,timestamp
b673e8cf-1e6e-48ab-a292-f21bbed54dcf,test@ugr...,metaheuristicas,27,question,simple,131,0,base,2025-09-14,16:51:02,1757861462.185607
b673e8cf-1e6e-48ab-a292-f21bbed54dcf,test@ugr...,metaheuristicas,39,question,simple,157,0,base,2025-09-14,16:51:03,1757861463.670426
b673e8cf-1e6e-48ab-a292-f21bbed54dcf,test@ugr...,metaheuristicas,30,question,simple,808,0,base,2025-09-14,16:51:06,1757861466.301204
b06a43f8-e8cd-48e7-a293-664e16797bc2,memoryte...,metaheuristicas,17,general,simple,60,0,base,2025-09-14,16:51:07,1757861467.026049
b06a43f8-e8cd-48e7-a293-664e16797bc2,memoryte...,metaheuristicas,19,question,simple,50,0,base,2025-09-14,16:51:07,1757861467.623342
357bc847-ab32-46ba-8f7a-687daaf2253f,test@tes...,metaheuristicas,27,question,simple,131,0,base,2025-09-14,16:51:09,1757861469.939799
18f0c990-c380-4d4e-9d1a-69fd48e8556d,pytest@u...,metaheuristicas,8,general,simple,43,0,base,2025-09-14,16:51:10,1757861470.853466
096867c6-801c-44d3-840d-6e8b647e2565,test@ugr...,metaheuristicas,27,question,simple,563,0,base,2025-09-16,14:02:47,1758024167.838305
096867c6-801c-44d3-840d-6e8b647e2565,test@ugr...,metaheuristicas,39,question,simple,166,0,base,2025-09-16,14:02:49,1758024169.590879
096867c6-801c-44d3-840d-6e8b647e2565,test@ugr...,metaheuristicas,30,question,simple,567,0,base,2025-09-16,14:02:51,1758024171.515085
932a118b-e096-45f6-9291-1b12fcc09b6c,memoryte...,metaheuristicas,17,general,simple,160,0,base,2025-09-16,14:02:52,1758024172.344714
932a118b-e096-45f6-9291-1b12fcc09b6c,memoryte...,metaheuristicas,19,question,simple,21,0,base,2025-09-16,14:02:53,1758024173.152527
f97777f4-fb29-4dd5-9dbd-e66277922d06,test@tes...,metaheuristicas,27,question,simple,563,0,base,2025-09-16,14:02:55,1758024175.334235
29a00096-cdec-4f8b-91ea-fb6cbd6952d3,pytest@u...,metaheuristicas,8,general,simple,91,0,base,2025-09-16,14:02:56,1758024176.199615
f43addcc-506d-4203-be14-3fa6fab33da6,test@ugr...,metaheuristicas,27,question,simple,1296,0,base,2025-09-16,14:14:12,1758024852.681934
f43addcc-506d-4203-be14-3fa6fab33da6,test@ugr...,metaheuristicas,39,question,simple,209,0,base,2025-09-16,14:14:14,1758024854.394184
f43addcc-506d-4203-be14-3fa6fab33da6,test@ugr...,metaheuristicas,30,question,simple,710,0,base,2025-09-16,14:14:16,1758024856.968981
169dada9-a648-48f8-a606-d4829d822688,memoryte...,metaheuristicas,17,general,simple,61,0,base,2025-09-16,14:14:17,1758024857.700096
169dada9-a648-48f8-a606-d4829d822688,memoryte...,metaheuristicas,19,question,simple,21,0,base,2025-09-16,14:14:18,1758024858.247769
88dbe55d-b229-44e0-bb16-d23f3724ab03,test@tes...,metaheuristicas,27,question,simple,705,0,base,2025-09-16,14:14:20,1758024860.361634
8dcd5e92-e263-421c-8eaa-311479906132,pytest@u...,metaheuristicas,8,general,simple,191,0,base,2025-09-16,14:14:21,1758024861.336629
708c3dbc-fecc-4171-a0ee-cff8fedff991,test@ugr...,metaheuristicas,27,question,simple,1605,0,base,2025-09-16,14:19:50,1758025190.632969
708c3dbc-fecc-4171-a0ee-cff8fedff991,test@ugr...,metaheuristicas,39,question,simple,181,0,base,2025-09-16,14:19:52,1758025192.485777
708c3dbc-fecc-4171-a0ee-cff8fedff991,test@ugr...,metaheuristicas,30,question,simple,791,0,base,2025-09-16,14:19:55,1758025195.008224
e4633b29-bd87-4b4b-9768-08d368fc7e5b,memoryte...,metaheuristicas,17,general,simple,62,0,base,2025-09-16,14:19:55,1758025195.787416
e4633b29-bd87-4b4b-9768-08d368fc7e5b,memoryte...,metaheuristicas,19,question,simple,96,0,base,2025-09-16,14:19:56,1758025196.534831
696bfbbe-61f6-4c1c-a885-fdddb97494f1,test@tes...,metaheuristicas,27,question,simple,1195,0,base,2025-09-16,14:20:00,1758025200.136055
d7955ef5-2fdd-4ea1-8623-788ef4f88466,pytest@u...,metaheuristicas,8,general,simple,190,0,base,2025-09-16,14:20:01,1758025201.151634
f3e0607a-7999-4ac1-85fb-10086146c02c,test@ugr...,metaheuristicas,27,question,simple,1017,0,base,2025-09-16,14:22:05,1758025325.91079
f3e0607a-7999-4ac1-85fb-10086146c02c,test@ugr...,metaheuristicas,39,question,simple,185,0,base,2025-09-16,14:22:07,1758025327.95444
f3e0607a-7999-4ac1-85fb-10086146c02c,test@ugr...,metaheuristicas,30,question,simple,576,0,base,2025-09-16,14:22:10,1758025330.441406
b08f3698-a917-48da-b766-8442cd0cb938,memoryte...,metaheuristicas,17,general,simple,54,0,base,2025-09-16,14:22:10,1758025330.960883
b08f3698-a917-48da-b766-8442cd0cb938,memoryte...,metaheuristicas,19,question,simple,106,0,base,2025-09-16,14:22:11,1758025331.566987
d1ae6eff-ab70-4ba4-abbe-d1f030424700,test@tes...,metaheuristicas,27,question,simple,1714,0,base,2025-09-16,14:22:15,1758025335.175822
3159ecf4-374b-473f-8ee6-4f90957a8579,pytest@u...,metaheuristicas,8,general,simple,228,0,base,2025-09-16,14:22:16,1758025336.087206
71592a2a-5023-442c-8f25-f8ea0808b641,test@ugr...,metaheuristicas,27,question,simple,985,0,base,2025-09-16,14:23:08,1758025388.242094
71592a2a-5023-442c-8f25-f8ea0808b641,test@ugr...,metaheuristicas,39,question,simple,185,0,base,2025-09-16,14:23:10,1758025390.51615
71592a2a-5023-442c-8f25-f8ea0808b641,test@ugr...,metaheuristicas,30,question,simple,710,0,base,2025-09-16,14:23:13,1758025393.323294
3d662558-850d-4e4d-a341-0a53597e5ee9,memoryte...,metaheuristicas,17,general,simple,65,0,base,2025-09-16,14:23:14,1758025394.222142
3d662558-850d-4e4d-a341-0a53597e5ee9,memoryte...,metaheuristicas,19,question,simple,68,0,base,2025-09-16,14:23:14,1758025394.897584
b4069b3b-e93e-4848-9b3c-bc9390f6c023,test@tes...,metaheuristicas,27,question,simple,1772,0,base,2025-09-16,14:23:18,1758025398.636758
ff9b295e-8b39-4098-996c-c817bcb8d70f,pytest@u...,metaheuristicas,8,general,simple,194,0,base,2025-09-16,14:23:19,1758025399.637987
6be22dac-7553-4b60-afbc-764ea97d26ad,test@ugr...,metaheuristicas,27,question,simple,1178,0,base,2025-09-16,14:23:43,1758025423.17932
6be22dac-7553-4b60-afbc-764ea97d26ad,test@ugr...,metaheuristicas,39,question,simple,185,0,base,2025-09-16,14:23:45,1758025425.527527
6be22dac-7553-4b60-afbc-764ea97d26ad,test@ugr...,metaheuristicas,30,question,simple,710,0,base,2025-09-16,14:23:48,1758025428.654407
be7bd28e-ad84-4141-89a8-0989431c216c,memoryte...,metaheuristicas,17,general,simple,77,0,base,2025-09-16,14:23:49,1758025429.210101
be7bd28e-ad84-4141-89a8-0989431c216c,memoryte...,metaheuristicas,19,question,simple,69,0,base,2025-09-16,14:23:49,1758025429.828733
9035980b-d025-4851-b0b8-a2b4f2b910b6,pytest@u...,metaheuristicas,8,general,simple,120,0,base,2025-09-16,14:24:11,1758025451.536037
0de81c90-83fa-4bde-8ce0-947d4c34848c,test@ugr...,metaheuristicas,27,question,simple,1043,0,base,2025-09-16,14:25:55,1758025555.426495
0de81c90-83fa-4bde-8ce0-947d4c34848c,test@ugr...,metaheuristicas,39,question,simple,185,0,base,2025-09-16,14:25:57,1758025557.768714
0de81c90-83fa-4bde-8ce0-947d4c34848c,test@ugr...,metaheuristicas,30,question,simple,710,0,base,2025-09-16,14:26:00,1758025560.796008
16a2ab62-ddeb-4383-a6f7-396488ddb0da,memoryte...,metaheuristicas,17,general,simple,55,0,base,2025-09-16,14:26:01,1758025561.386356
16a2ab62-ddeb-4383-a6f7-396488ddb0da,memoryte...,metaheuristicas,19,question,simple,65,0,base,2025-09-16,14:26:02,1758025562.201776
aa8f922f-edcc-4f45-a7f2-9600caa6af02,test@tes...,metaheuristicas,27,question,simple,1302,0,base,2025-09-16,14:26:05,1758025565.858594
43df3938-13ee-42c1-8d9a-d65a95cd5882,pytest@u...,metaheuristicas,8,general,simple,141,0,base,2025-09-16,14:26:06,1758025566.630293
